scholar_no,student_name,dob_figure,dob_words,gender,father_name,f_qualification,f_occupation,mother_name,m_qualification,m_occupation,address,mobile,sssm_id,family_id,aadhar_no,caste,category,religion,bank_name,account_no,ifsc_code,photo_path,total_standard_fees,discount_amount,final_payable_fees,payment_mode,student_class,section,remaining_balance
1501,ganesh,2010-02-23,"twenty three feb two thouusand five",Male,PUKHH,10,employee,Renu,9NINETH,WORKER,"54 indore",9826771862,154564646,4564654646,213790286172,KUMHAR,OBC,Sikh,"IFIC ",32113121458,31321231313131,"uploads/1774002513_Screenshot 2026-02-27 163812.png",18000.00,0.00,18000.00,Installment,3rd,A,18000.00
C101,"Manish Pandey",2018-05-10,"Ten May 18",Male,Vijay,B.Tech,Engineer,Suman,B.A,HW,Indore,9000000061,4001,F61,444400004101,Gen,GEN,Hindu,SBI,40001,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,A,18000.00
C102,"Navita Singh",2018-06-12,"Twelve June 18",Female,Sunil,B.A,Business,Pooja,B.A,HW,Indore,9000000062,4002,F62,444400004102,Gen,GEN,Hindu,HDFC,40002,HDFC01,img.jpg,18000.00,0.00,18000.00,,1st,A,18000.00
C103,"Omkar Gupta",2018-07-15,"Fifteen July 18",Male,Amit,B.Sc,Shop,Ritu,B.A,HW,Indore,9000000063,4003,F63,444400004103,OBC,OBC,Hindu,BOI,40003,BKID01,img.jpg,18000.00,0.00,18000.00,,1st,A,18000.00
C104,"Priya Mehra",2018-08-20,"Twenty Aug 18",Female,Vikram,B.A,Farmer,Sita,B.A,HW,Indore,9000000064,4004,F64,444400004104,SC,SC,Hindu,PNB,40004,PUNB01,img.jpg,18000.00,0.00,18000.00,,1st,A,18000.00
C105,"Quaran Ali",2018-01-10,"Ten Jan 18",Male,Aslam,B.A,Driver,Salma,B.A,HW,Indore,9000000065,4005,F65,444400004105,Gen,GEN,Muslim,SBI,40005,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,A,18000.00
C106,"Rishita Das",2018-02-14,"Fourteen Feb 18",Female,Manoj,B.A,Job,Kiran,B.A,HW,Indore,9000000066,4006,F66,444400004106,Gen,GEN,Hindu,SBI,40006,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,B,18000.00
C107,"Shivam Jha",2018-03-20,"Twenty March 18",Male,Sanjay,B.A,Biz,Neha,B.A,HW,Indore,9000000067,4007,F67,444400004107,Gen,GEN,Hindu,SBI,40007,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,B,18000.00
C108,"Tanvi Joshi",2018-04-25,"Twenty Five April 18",Female,Deepak,B.A,Job,Meena,B.A,HW,Indore,9000000068,4008,F68,444400004108,Gen,GEN,Hindu,BOB,40008,BARB01,img.jpg,18000.00,0.00,18000.00,,1st,B,18000.00
C109,"Utsav Sen",2018-05-30,"Thirty May 18",Male,Raj,B.A,Biz,Riya,B.A,HW,Indore,9000000069,4009,F69,444400004109,Gen,GEN,Hindu,SBI,40009,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,B,18000.00
C110,"Vanya Goel",2018-06-05,"Five June 18",Female,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000070,4010,F70,444400004110,SC,SC,Hindu,SBI,40010,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,B,18000.00
C111,"Waseem Akram",2018-07-07,"Seven July 18",Male,Akram,B.A,Biz,Sana,B.A,HW,Indore,9000000071,4011,F71,444400004111,Gen,GEN,Muslim,SBI,40011,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,C,18000.00
C112,"Xina Jain",2018-08-08,"Eight Aug 18",Female,Harish,B.A,Biz,Maya,B.A,HW,Indore,9000000072,4012,F72,444400004112,Gen,GEN,Jain,SBI,40012,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,C,18000.00
C113,"Yuvraj Singh",2018-09-09,"Nine Sept 18",Male,Yograj,B.A,Sports,Meena,B.A,HW,Indore,9000000073,4013,F73,444400004113,OBC,OBC,Hindu,SBI,40013,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,C,18000.00
C114,"Zara Khan",2018-10-10,"Ten Oct 18",Female,Karan,B.A,Biz,Nisha,B.A,HW,Indore,9000000074,4014,F74,444400004114,Gen,GEN,Muslim,SBI,40014,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,C,18000.00
C115,"Abhay Bose",2018-11-11,"Eleven Nov 18",Male,Joy,B.A,Biz,Priya,B.A,HW,Indore,9000000075,4015,F75,444400004115,Gen,GEN,Hindu,SBI,40015,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,C,18000.00
C116,"Bhumika Pal",2018-12-12,"Twelve Dec 18",Female,Manoj,B.A,Biz,Kiran,B.A,HW,Indore,9000000076,4016,F76,444400004116,Gen,GEN,Hindu,SBI,40016,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,D,18000.00
C117,"Chirag Patil",2018-01-20,"Twenty Jan 18",Male,Suresh,B.A,Farmer,Lata,B.A,HW,Indore,9000000077,4017,F77,444400004117,Gen,GEN,Hindu,SBI,40017,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,D,18000.00
C118,"Dolly Shah",2018-02-22,"Twenty Two Feb 18",Female,Gopal,B.A,Biz,Radha,B.A,HW,Indore,9000000078,4018,F78,444400004118,Gen,GEN,Hindu,SBI,40018,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,D,18000.00
C119,"Eshan Verma",2018-03-25,"Twenty Five Mar 18",Male,Sunil,B.A,Biz,Pooja,B.A,HW,Indore,9000000079,4019,F79,444400004119,Gen,GEN,Hindu,SBI,40019,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,D,18000.00
C120,"Farhan Ali",2018-04-30,"Thirty April 18",Male,Aslam,B.A,Biz,Salma,B.A,HW,Indore,9000000080,4020,F80,444400004120,Gen,GEN,Muslim,SBI,40020,SBIN01,img.jpg,18000.00,0.00,18000.00,,1st,D,18000.00
C201,"Gopal Das",2017-05-10,"Ten May 17",Male,Hari,B.A,Shop,Radha,B.A,HW,Indore,9000000081,5001,F81,555500005101,Gen,GEN,Hindu,SBI,50001,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,A,19000.00
C202,"Hina Dixit",2017-06-12,"Twelve June 17",Female,Sunil,B.A,Business,Pooja,B.A,HW,Indore,9000000082,5002,F82,555500005102,Gen,GEN,Hindu,HDFC,50002,HDFC01,img.jpg,19000.00,0.00,19000.00,Online,2nd,A,19000.00
C203,"Inderjeet Singh",2017-07-15,"Fifteen July 17",Male,Amit,B.Sc,Farmer,Ritu,B.A,HW,Indore,9000000083,5003,F83,555500005103,OBC,OBC,Hindu,BOI,50003,BKID01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,A,19000.00
C204,"Jhanvi Mehra",2017-08-20,"Twenty Aug 17",Female,Vikram,B.A,Job,Sita,B.A,HW,Indore,9000000084,5004,F84,555500005104,SC,SC,Hindu,PNB,50004,PUNB01,img.jpg,19000.00,0.00,19000.00,Online,2nd,A,19000.00
C205,"Kunal Kohli",2017-01-10,"Ten Jan 17",Male,Virat,M.A,Sports,Anushka,M.A,Job,Indore,9000000085,5005,F85,555500005105,Gen,GEN,Hindu,SBI,50005,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,A,19000.00
C206,"Lucky Ali",2017-02-14,"Fourteen Feb 17",Male,Mehmood,B.A,Artist,Kiran,B.A,HW,Indore,9000000086,5006,F86,555500005106,Gen,GEN,Muslim,SBI,50006,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,B,19000.00
C207,"Mona Singh",2017-03-20,"Twenty March 17",Female,Sanjay,B.A,Biz,Neha,B.A,HW,Indore,9000000087,5007,F87,555500005107,Gen,GEN,Hindu,SBI,50007,SBIN01,img.jpg,19000.00,0.00,19000.00,Online,2nd,B,19000.00
C208,"Naman Jain",2017-04-25,"Twenty Five April 17",Male,Sumit,B.A,Job,Rina,B.A,HW,Indore,9000000088,5008,F88,555500005108,Gen,GEN,Jain,BOB,50008,BARB01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,B,19000.00
C209,"Ojasvi Sen",2017-05-30,"Thirty May 17",Female,Raj,B.A,Biz,Riya,B.A,HW,Indore,9000000089,5009,F89,555500005109,Gen,GEN,Hindu,SBI,50009,SBIN01,img.jpg,19000.00,0.00,19000.00,Online,2nd,B,19000.00
C210,"Piyush Goel",2017-06-05,"Five June 17",Male,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000090,5010,F90,555500005110,SC,SC,Hindu,SBI,50010,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,B,19000.00
C211,"Qasim Ali",2017-07-07,"Seven July 17",Male,Akram,B.A,Biz,Sana,B.A,HW,Indore,9000000091,5011,F91,555500005111,Gen,GEN,Muslim,SBI,50011,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,C,19000.00
C212,"Ritu Bansal",2017-08-08,"Eight Aug 17",Female,Rahul,B.A,Biz,Kavita,B.A,HW,Indore,9000000092,5012,F92,555500005112,Gen,GEN,Hindu,SBI,50012,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,C,19000.00
C213,"Sunny Deol",2017-09-09,"Nine Sept 17",Male,Dharmendra,B.A,Sports,Meena,B.A,HW,Indore,9000000093,5013,F93,555500005113,OBC,OBC,Hindu,SBI,50013,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,C,19000.00
C214,"Tanuja Khan",2017-10-10,"Ten Oct 17",Female,Karan,B.A,Biz,Nisha,B.A,HW,Indore,9000000094,5014,F94,555500005114,Gen,GEN,Muslim,SBI,50014,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,C,19000.00
C215,"Utkarsh Bose",2017-11-11,"Eleven Nov 17",Male,Joy,B.A,Biz,Priya,B.A,HW,Indore,9000000095,5015,F95,555500005115,Gen,GEN,Hindu,SBI,50015,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,C,19000.00
C216,"Vidya Balan",2017-12-12,"Twelve Dec 17",Female,Manoj,B.A,Artist,Kiran,B.A,HW,Indore,9000000096,5016,F96,555500005116,Gen,GEN,Hindu,SBI,50016,SBIN01,img.jpg,19000.00,0.00,19000.00,Online,2nd,D,19000.00
C217,"Wasim Raja",2017-01-20,"Twenty Jan 17",Male,Suresh,B.A,Job,Lata,B.A,HW,Indore,9000000097,5017,F97,555500005117,Gen,GEN,Muslim,SBI,50017,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,D,19000.00
C218,"Xina Shah",2017-02-22,"Twenty Two Feb 17",Female,Gopal,B.A,Biz,Radha,B.A,HW,Indore,9000000098,5018,F98,555500005118,Gen,GEN,Hindu,SBI,50018,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,D,19000.00
C219,"Yash Pathak",2017-03-25,"Twenty Five Mar 17",Male,Sunil,B.A,Biz,Pooja,B.A,HW,Indore,9000000099,5019,F99,555500005119,Gen,GEN,Hindu,SBI,50019,SBIN01,img.jpg,19000.00,0.00,19000.00,Cash,2nd,D,19000.00
C220,"Zeenat Aman",2017-04-30,"Thirty April 17",Female,Aslam,B.A,Artist,Salma,B.A,HW,Indore,9000000100,5020,F100,555500005120,Gen,GEN,Muslim,SBI,50020,SBIN01,img.jpg,19000.00,0.00,19000.00,Online,2nd,D,19000.00
C301,"Abhishek Sharma",2016-01-10,"Ten Jan 16",Male,Ramesh,Graduate,Job,Suman,B.A,HW,Indore,9000000101,6001,F101,666600006101,Gen,GEN,Hindu,SBI,60001,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,A,20000.00
C302,"Bhakti Vyas",2016-02-15,"Fifteen Feb 16",Female,Amit,MBA,Biz,Pooja,B.Com,Teacher,Indore,9000000102,6002,F102,666600006102,Gen,GEN,Hindu,HDFC,60002,HDFC01,img.jpg,20000.00,0.00,20000.00,Online,3rd,A,20000.00
C303,"Chetan Bhagat",2016-03-20,"Twenty Mar 16",Male,Sunil,B.A,Writer,Maya,B.A,HW,Indore,9000000103,6003,F103,666600006103,Gen,GEN,Hindu,BOI,60003,BKID01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,A,20000.00
C304,"Drishti Gill",2016-04-25,"Twenty Five Apr 16",Female,Vikram,B.A,Farmer,Sita,B.A,HW,Indore,9000000104,6004,F104,666600006104,OBC,OBC,Hindu,PNB,60004,PUNB01,img.jpg,20000.00,0.00,20000.00,Online,3rd,A,20000.00
C305,"Eshan Kishor",2016-05-30,"Thirty May 16",Male,Prakash,B.A,Job,Laxmi,B.A,HW,Indore,9000000105,6005,F105,666600006105,SC,SC,Hindu,SBI,60005,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,A,20000.00
C306,"Farhan Akhtar",2016-06-05,"Five June 16",Male,Javed,Graduate,Artist,Honey,Graduate,HW,Indore,9000000106,6006,F106,666600006106,Gen,GEN,Muslim,SBI,60006,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,B,20000.00
C307,"Gita Phogat",2016-07-10,"Ten July 16",Female,Mahavir,B.A,Coach,Daya,B.A,HW,Indore,9000000107,6007,F107,666600006107,OBC,OBC,Hindu,SBI,60007,SBIN01,img.jpg,20000.00,0.00,20000.00,Online,3rd,B,20000.00
C308,"Hardik Pandya",2016-08-15,"Fifteen Aug 16",Male,Himanshu,B.A,Sports,Nalini,B.A,HW,Indore,9000000108,6008,F108,666600006108,Gen,GEN,Hindu,BOB,60008,BARB01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,B,20000.00
C309,"Indu Jain",2016-09-20,"Twenty Sept 16",Female,Deepak,B.A,Biz,Meena,B.A,HW,Indore,9000000109,6009,F109,666600006109,Gen,GEN,Jain,SBI,60009,SBIN01,img.jpg,20000.00,0.00,20000.00,Online,3rd,B,20000.00
C310,"Jatin Lalit",2016-10-25,"Twenty Five Oct 16",Male,Manoj,B.A,Job,Kiran,B.A,HW,Indore,9000000110,6010,F110,666600006110,SC,SC,Hindu,SBI,60010,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,B,20000.00
C311,"Kajol Devgan",2016-11-30,"Thirty Nov 16",Female,Ajay,B.A,Biz,Tanuja,B.A,HW,Indore,9000000111,6011,F111,666600006111,Gen,GEN,Hindu,SBI,60011,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,C,20000.00
C312,"Lucky Bisht",2016-12-05,"Five Dec 16",Male,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000112,6012,F112,666600006112,Gen,GEN,Hindu,SBI,60012,SBIN01,img.jpg,20000.00,0.00,20000.00,Online,3rd,C,20000.00
C313,"Mansi Joshi",2016-01-22,"Twenty Two Jan 16",Female,Nitin,B.A,Biz,Gauri,B.A,HW,Indore,9000000113,6013,F113,666600006113,Gen,GEN,Hindu,SBI,60013,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,C,20000.00
C314,"Nitin Gadkari",2016-02-18,"Eighteen Feb 16",Male,Jairam,B.A,Leader,Kundan,B.A,HW,Indore,9000000114,6014,F114,666600006114,Gen,GEN,Hindu,SBI,60014,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,C,20000.00
C315,"Omi Vaidya",2016-03-12,"Twelve Mar 16",Male,Sumit,B.A,Biz,Maya,B.A,HW,Indore,9000000115,6015,F115,666600006115,Gen,GEN,Hindu,SBI,60015,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,C,20000.00
C316,"Pankaj Tripathi",2016-04-08,"Eight Apr 16",Male,Pandit,Graduate,Job,Rina,Graduate,HW,Indore,9000000116,6016,F116,666600006116,Gen,GEN,Hindu,SBI,60016,SBIN01,img.jpg,20000.00,0.00,20000.00,Online,3rd,D,20000.00
C317,"Queen Elizabeth",2016-05-22,"Twenty Two May 16",Female,George,B.A,Royal,Mary,B.A,HW,Indore,9000000117,6017,F117,666600006117,Gen,GEN,Christian,SBI,60017,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,D,20000.00
C318,"Ranveer Singh",2016-06-14,"Fourteen June 16",Male,Jagjit,Graduate,Biz,Anju,Graduate,HW,Indore,9000000118,6018,F118,666600006118,Gen,GEN,Hindu,SBI,60018,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,D,20000.00
C319,"Sushant Singh",2016-07-28,"Twenty Eight July 16",Male,Kishore,B.A,Job,Usha,B.A,HW,Indore,9000000119,6019,F119,666600006119,Gen,GEN,Hindu,SBI,60019,SBIN01,img.jpg,20000.00,0.00,20000.00,Cash,3rd,D,20000.00
C320,"Tripti Dimri",2016-08-01,"One Aug 16",Female,Dinesh,Graduate,Job,Meenakshi,B.A,HW,Indore,9000000120,6020,F120,666600006120,Gen,GEN,Hindu,SBI,60020,SBIN01,img.jpg,20000.00,0.00,20000.00,Online,3rd,D,20000.00
C401,"Udit Narayan",2015-01-10,"Ten Jan 15",Male,Hari,Graduate,Singer,Deepa,B.A,HW,Indore,9000000121,7001,F121,777700007101,Gen,GEN,Hindu,SBI,70001,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,A,21000.00
C402,"Vicky Kaushal",2015-02-15,"Fifteen Feb 15",Male,Sham,MBA,Stunt,Veena,B.Com,HW,Indore,9000000122,7002,F122,777700007102,Gen,GEN,Hindu,HDFC,70002,HDFC01,img.jpg,21000.00,0.00,21000.00,Online,4th,A,21000.00
C403,"Wamiqa Gabbi",2015-03-20,"Twenty Mar 15",Female,Sunil,B.A,Job,Maya,B.A,HW,Indore,9000000123,7003,F123,777700007103,Gen,GEN,Hindu,BOI,70003,BKID01,img.jpg,21000.00,0.00,21000.00,Cash,4th,A,21000.00
C404,"Xenia Dsouza",2015-04-25,"Twenty Five Apr 15",Female,Vikram,B.A,Biz,Sita,B.A,HW,Indore,9000000124,7004,F124,777700007104,Gen,GEN,Christian,PNB,70004,PUNB01,img.jpg,21000.00,0.00,21000.00,Online,4th,A,21000.00
C405,"Yuvika Chaudhary",2015-05-30,"Thirty May 15",Female,Prakash,B.A,Job,Laxmi,B.A,HW,Indore,9000000125,7005,F125,777700007105,Gen,GEN,Hindu,SBI,70005,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,A,21000.00
C406,"Zakir Khan",2015-06-05,"Five June 15",Male,Ismail,Graduate,Artist,Honey,Graduate,HW,Indore,9000000126,7006,F126,777700007106,Gen,GEN,Muslim,SBI,70006,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,B,21000.00
C407,"Alia Bhatt",2015-07-10,"Ten July 15",Female,Mahesh,B.A,Director,Soni,B.A,HW,Indore,9000000127,7007,F127,777700007107,Gen,GEN,Hindu,SBI,70007,SBIN01,img.jpg,21000.00,0.00,21000.00,Online,4th,B,21000.00
C408,"Bobby Deol",2015-08-15,"Fifteen Aug 15",Male,Dharmendra,B.A,Biz,Prakash,B.A,HW,Indore,9000000128,7008,F128,777700007108,Gen,GEN,Hindu,BOB,70008,BARB01,img.jpg,21000.00,0.00,21000.00,Cash,4th,B,21000.00
C409,"Chitrangada Singh",2015-09-20,"Twenty Sept 15",Female,Niraj,B.A,Army,Meena,B.A,HW,Indore,9000000129,7009,F129,777700007109,Gen,GEN,Hindu,SBI,70009,SBIN01,img.jpg,21000.00,0.00,21000.00,Online,4th,B,21000.00
C410,"Dhanush Raja",2015-10-25,"Twenty Five Oct 15",Male,Kasturi,B.A,Job,Vijay,B.A,HW,Indore,9000000130,7010,F130,777700007110,OBC,OBC,Hindu,SBI,70010,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,B,21000.00
C411,"Emraan Hashmi",2015-11-30,"Thirty Nov 15",Male,Anwar,B.A,Biz,Maher,B.A,HW,Indore,9000000131,7011,F131,777700007111,Gen,GEN,Muslim,SBI,70011,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,C,21000.00
C412,"Fatima Sana",2015-12-05,"Five Dec 15",Female,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000132,7012,F132,777700007112,Gen,GEN,Muslim,SBI,70012,SBIN01,img.jpg,21000.00,0.00,21000.00,Online,4th,C,21000.00
C413,"Govinda Ahuja",2015-01-22,"Twenty Two Jan 15",Male,Arun,B.A,Biz,Nirmala,B.A,HW,Indore,9000000133,7013,F133,777700007113,Gen,GEN,Hindu,SBI,70013,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,C,21000.00
C414,"Huma Qureshi",2015-02-18,"Eighteen Feb 15",Female,Saleem,B.A,Restraunt,Amina,B.A,HW,Indore,9000000134,7014,F134,777700007114,Gen,GEN,Muslim,SBI,70014,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,C,21000.00
C415,"Irfan Pathan",2015-03-12,"Twelve Mar 15",Male,Mehmood,B.A,Sports,Maya,B.A,HW,Indore,9000000135,7015,F135,777700007115,Gen,GEN,Muslim,SBI,70015,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,C,21000.00
C416,"John Abraham",2015-04-08,"Eight Apr 15",Male,Abraham,Graduate,Job,Firoza,Graduate,HW,Indore,9000000136,7016,F136,777700007116,Gen,GEN,Christian,SBI,70016,SBIN01,img.jpg,21000.00,0.00,21000.00,Online,4th,D,21000.00
C417,"Kriti Sanon",2015-05-22,"Twenty Two May 15",Female,Rahul,B.A,Prof,Geeta,B.A,HW,Indore,9000000137,7017,F137,777700007117,Gen,GEN,Hindu,SBI,70017,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,D,21000.00
C418,"Lokesh Rahul",2015-06-14,"Fourteen June 15",Male,Lokesh,Graduate,Coach,Rajeshwari,Graduate,HW,Indore,9000000138,7018,F138,777700007118,OBC,OBC,Hindu,SBI,70018,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,D,21000.00
C419,"Manoj Bajpayee",2015-07-28,"Twenty Eight July 15",Male,Radha,B.A,Farmer,Sushila,B.A,HW,Indore,9000000139,7019,F139,777700007119,Gen,GEN,Hindu,SBI,70019,SBIN01,img.jpg,21000.00,0.00,21000.00,Cash,4th,D,21000.00
C420,"Nora Fatehi",2015-08-01,"One Aug 15",Female,Fateh,Graduate,Artist,Meena,B.A,HW,Indore,9000000140,7020,F140,777700007120,Gen,GEN,Muslim,SBI,70020,SBIN01,img.jpg,21000.00,0.00,21000.00,Online,4th,D,21000.00
C501,"Om Puri",2014-01-10,"Ten Jan 14",Male,Rajesh,Graduate,Artist,Suman,B.A,HW,Indore,9000000141,8001,F141,888800008101,Gen,GEN,Hindu,SBI,80001,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,A,22000.00
C502,"Pankaj Kapoor",2014-02-15,"Fifteen Feb 14",Male,Madan,MBA,Job,Veena,B.Com,HW,Indore,9000000142,8002,F142,888800008102,Gen,GEN,Hindu,HDFC,80002,HDFC01,img.jpg,22000.00,0.00,22000.00,Online,5th,A,22000.00
C503,"Qubool Hai",2014-03-20,"Twenty Mar 14",Female,Aslam,B.A,Job,Maya,B.A,HW,Indore,9000000143,8003,F143,888800008103,Gen,GEN,Muslim,BOI,80003,BKID01,img.jpg,22000.00,0.00,22000.00,Cash,5th,A,22000.00
C504,"Raveena Tandon",2014-04-25,"Twenty Five Apr 14",Female,Ravi,B.A,Biz,Sita,B.A,HW,Indore,9000000144,8004,F144,888800008104,Gen,GEN,Hindu,PNB,80004,PUNB01,img.jpg,22000.00,0.00,22000.00,Online,5th,A,22000.00
C505,"Suniel Shetty",2014-05-30,"Thirty May 14",Male,Veerappa,B.A,Biz,Laxmi,B.A,HW,Indore,9000000145,8005,F145,888800008105,Gen,GEN,Hindu,SBI,80005,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,A,22000.00
C506,"Tabu Hashmi",2014-06-05,"Five June 14",Female,Jamal,Graduate,Artist,Honey,Graduate,HW,Indore,9000000146,8006,F146,888800008106,Gen,GEN,Muslim,SBI,80006,SBIN01,img.jpg,22000.00,0.00,22000.00,Cash,5th,B,22000.00
